orf1	0-53
orf3599	131248-131277
orf3599-r	12404-12451
orf36	2523-2648
orf36-r	154041-154139
orf360	28128-28184
orf360-r	128274-128297
orf3600	131278-131298
orf3600-r	12377-12403
orf3601	131305-131376
orf3601-r	12311-12376
orf3602	131377-131457
orf3602-r	12284-12310
orf3603	131458-131487
orf3603-r	12212-12259
orf3604	131488-131586
orf3604-r	12122-12202
orf3605	131587-131646
orf3605-r	12071-12112
orf3606	131647-131730
orf3606-r	11999-12070
orf3607	131731-131772
orf3607-r	11561-11986
orf3608	131773-131886
orf3608-r	11486-11539
orf3609	131887-131907
orf3609-r	11414-11479
orf361	28185-28244
orf361-r	128223-128273
orf3610	131908-132048
orf3610-r	11342-11404
orf3611	132049-132072
orf3611-r	11303-11323
orf3612	132085-132129
orf3612-r	11258-11302
orf3613	132145-132213
orf3613-r	11219-11239
orf3614	132214-132489
orf3614-r	11186-11218
orf3615	132490-132519
orf3615-r	11159-11185
orf3616	132520-132594
orf3616-r	11099-11158
orf3617	132595-132699
orf3617-r	11015-11098
orf3618	132700-132795
orf3618-r	10985-11005
orf3619	132796-133053
orf3619-r	10949-10984
orf362	28263-28370
orf362-r	128187-128222
orf3620	133054-133104
orf3620-r	10910-10948
orf3621	133105-133305
orf3621-r	10859-10894
orf3622	133306-133428
orf3622-r	10811-10855
orf3623	133429-133719
orf3623-r	10709-10810
orf3624	133720-133758
orf3624-r	10652-10708
orf3625	133759-133809
orf3625-r	10571-10651
orf3626	133810-133887
orf3626-r	10481-10528
orf3627	133888-133995
orf3627-r	10406-10480
orf3628	133996-134022
orf3628-r	10358-10405
orf3629	134023-134130
orf3629-r	10181-10306
orf363	28374-28484
orf363-r	128091-128186
orf3630	134137-134313
orf3630-r	10124-10180
orf3631	134314-134379
orf3631-r	10091-10123
orf3632	134380-134415
orf3632-r	10016-10090
orf3633	134416-134778
orf3633-r	9830-10015
orf3634	134779-134892
orf3634-r	9788-9829
orf3635	134911-135141
orf3635-r	9698-9787
orf3636	135142-135180
orf3636-r	9668-9697
orf3637	135181-135207
orf3637-r	9599-9658
orf3638	135208-135387
orf3638-r	9566-9589
orf3639	135388-135507
orf3639-r	9461-9556
orf364	28485-28574
orf364-r	128058-128081
orf3640	135508-135594
orf3640-r	9362-9460
orf3641	135595-135633
orf3641-r	9326-9361
orf3642	135634-135726
orf3642-r	9275-9325
orf3643	135727-135750
orf3643-r	9251-9271
orf3644	135751-135840
orf3644-r	9203-9250
orf3645	135841-136044
orf3645-r	8924-9202
orf3646	136045-136068
orf3646-r	8855-8911
orf3647	136069-136107
orf3647-r	8816-8854
orf3648	136108-136197
orf3648-r	8756-8815
orf3649	136198-136254
orf3649-r	8687-8755
orf365	28575-28670
orf365-r	128037-128057
orf3650	136255-136350
orf3650-r	8615-8683
orf3651	136351-136374
orf3651-r	8489-8608
orf3652	136375-136530
orf3652-r	8396-8464
orf3653	136531-136644
orf3653-r	8240-8395
orf3654	136645-136692
orf3654-r	8114-8239
orf3655	136693-136812
orf3655-r	8054-8113
orf3656	136813-136842
orf3656-r	8003-8053
orf3657	136843-136920
orf3657-r	7934-7981
orf3658	136921-137142
orf3658-r	7721-7930
orf3659	137143-137190
orf3659-r	7688-7720
orf366	28671-28703
orf366-r	127986-128024
orf3660	137191-137235
orf3660-r	7541-7660
orf3661	137236-137286
orf3661-r	7490-7540
orf3662	137305-137379
orf3662-r	7439-7489
orf3663	137380-137409
orf3663-r	7355-7423
orf3664	137410-137484
orf3664-r	7166-7354
orf3665	137485-137523
orf3665-r	7067-7165
orf3666	137536-137733
orf3666-r	6938-7054
orf3667	137734-137766
orf3667-r	6893-6937
orf3668	137767-137838
orf3668-r	6734-6883
orf3669	137839-137904
orf3669-r	6713-6733
orf367	28710-28838
orf367-r	127869-127910
orf3670	137905-138168
orf3670-r	6677-6712
orf3671	138169-138231
orf3671-r	6617-6676
orf3672	138232-138399
orf3672-r	6479-6616
orf3673	138400-138483
orf3673-r	6230-6478
orf3674	138484-138594
orf3674-r	6137-6229
orf3675	138595-138639
orf3675-r	6098-6136
orf3676	138640-138822
orf3676-r	6074-6097
orf3677	138823-138846
orf3677-r	6029-6073
orf3678	138847-139194
orf3678-r	5996-6028
orf3679	139195-139260
orf3679-r	5861-5989
orf368	28839-28916
orf368-r	127824-127868
orf3680	139261-139410
orf3680-r	5828-5857
orf3681	139450-139512
orf3681-r	5738-5824
orf3682	139513-139698
orf3682-r	5642-5719
orf3683	139699-139731
orf3683-r	5606-5641
orf3684	139738-139839
orf3684-r	5486-5584
orf3685	139840-139890
orf3685-r	5441-5485
orf3686	139891-140070
orf3686-r	5414-5440
orf3687	140071-140355
orf3687-r	5363-5413
orf3688	140356-140721
orf3688-r	5303-5362
orf3689	140722-140829
orf3689-r	5270-5302
orf369	28920-28949
orf369-r	127794-127814
orf3690	140830-141066
orf3690-r	5186-5254
orf3691	141073-141096
orf3691-r	5105-5185
orf3692	141097-141123
orf3692-r	5084-5104
orf3693	141139-141228
orf3693-r	5057-5083
orf3694	141244-141321
orf3694-r	5036-5056
orf3695	141322-141342
orf3695-r	4919-5023
orf3696	141343-141459
orf3696-r	4892-4918
orf3697	141460-141525
orf3697-r	4721-4873
orf3698	141535-141567
orf3698-r	4673-4708
orf3699	141568-141594
orf3699-r	4589-4672
orf37	2667-2939
orf37-r	153978-154040
orf370	28950-29045
orf370-r	127761-127781
orf3700	141610-141672
orf3700-r	4568-4588
orf3701	141694-141738
orf3701-r	4463-4567
orf3702	141739-141762
orf3702-r	4403-4462
orf3703	141763-141783
orf3703-r	4271-4396
orf3704	141784-142014
orf3704-r	4244-4270
orf3705	142015-142206
orf3705-r	4214-4243
orf3706	142243-142323
orf3706-r	4178-4213
orf3707	142348-142533
orf3707-r	4142-4177
orf3708	142534-142692
orf3708-r	4049-4123
orf3709	142711-142803
orf3709-r	4022-4048
orf371	29046-29129
orf371-r	127740-127760
orf3710	142804-142875
orf3710-r	3884-4009
orf3711	142876-142953
orf3711-r	3848-3883
orf3712	142954-142983
orf3712-r	3689-3847
orf3713	142984-143070
orf3713-r	3668-3688
orf3714	143071-143205
orf3714-r	3620-3649
orf3715	143218-143304
orf3715-r	3524-3619
orf3716	143305-143406
orf3716-r	3446-3523
orf3717	143407-143487
orf3717-r	3332-3436
orf3718	143488-143577
orf3718-r	3263-3331
orf3719	143581-143721
orf3719-r	3224-3262
orf372	29130-29165
orf372-r	127710-127739
orf3720	143722-143811
orf3720-r	3158-3223
orf3721	143812-143868
orf3721-r	3104-3157
orf3722	143869-143940
orf3722-r	3026-3091
orf3723	143941-144024
orf3723-r	2993-3016
orf3724	144028-144084
orf3724-r	2969-2992
orf3725	144088-144198
orf3725-r	2864-2968
orf3726	144217-144258
orf3726-r	2681-2863
orf3727	144259-144291
orf3727-r	2621-2653
orf3728	144292-144360
orf3728-r	2582-2620
orf3729	144361-144402
orf3729-r	2552-2575
orf373	29166-29189
orf373-r	127626-127703
orf3730	144403-144462
orf3730-r	2519-2551
orf3731	144463-144483
orf3731-r	2435-2506
orf3732	144484-144522
orf3732-r	2135-2422
orf3733	144523-144663
orf3733-r	2084-2125
orf3734	144664-144783
orf3734-r	2048-2083
orf3735	144784-144882
orf3735-r	2015-2044
orf3736	144886-145155
orf3736-r	1985-2005
orf3737	145156-145299
orf3737-r	1901-1984
orf3738	145300-145443
orf3738-r	1751-1879
orf3739	145444-145500
orf3739-r	1715-1750
orf374	29202-29240
orf374-r	127602-127625
orf3740	145501-145674
orf3740-r	1673-1711
orf3741	145675-145755
orf3741-r	1619-1663
orf3742	145756-145812
orf3742-r	1541-1618
orf3743	145813-145869
orf3743-r	1520-1540
orf3744	145870-145932
orf3744-r	1442-1519
orf3745	145939-145983
orf3745-r	1307-1441
orf3746	145984-146118
orf3746-r	1247-1291
orf3747	146122-146199
orf3747-r	1217-1246
orf3748	146221-146241
orf3748-r	1184-1210
orf3749	146254-146277
orf3749-r	1103-1183
orf375	29241-29330
orf375-r	127434-127601
orf3750	146278-146349
orf3750-r	977-1102
orf3751	146362-146556
orf3751-r	851-964
orf3752	146575-146646
orf3752-r	821-847
orf3753	146647-146724
orf3753-r	770-820
orf3754	146740-146877
orf3754-r	650-757
orf3755	146878-146925
orf3755-r	524-649
orf3756	146926-147060
orf3756-r	494-523
orf3757	147091-147141
orf3757-r	473-493
orf3758	147145-147273
orf3758-r	419-454
orf3759	147274-147306
orf3759-r	287-418
orf376	29337-29477
orf376-r	127287-127415
orf3760	147307-147339
orf3760-r	236-286
orf3761	147340-147513
orf3761-r	161-184
orf3762	147514-147567
orf3762-r	119-154
orf3763	147568-147618
orf3763-r	83-118
orf3764	147619-147738
orf3764-r	59-82
orf3765	147739-147768
orf3765-r	29-58
orf3766	147769-147816
orf3766-r	156499-156567
orf3767	147817-147846
orf3767-r	156415-156486
orf3768	147862-147924
orf3768-r	156391-156414
orf3769	147925-147987
orf3769-r	156364-156390
orf377	29478-29540
orf377-r	127239-127286
orf3770	147988-148053
orf3770-r	156250-156363
orf3771	148054-148101
orf3771-r	156223-156249
orf3772	148102-148236
orf3772-r	156076-156204
orf3773	148237-148260
orf3773-r	156055-156075
orf3774	148264-148374
orf3774-r	155872-156054
orf3775	148375-148440
orf3775-r	155416-155871
orf3776	148459-148554
orf3776-r	155329-155415
orf3777	148570-148644
orf3777-r	155212-155313
orf3778	148645-148704
orf3778-r	155161-155211
orf3779	148723-148884
orf3779-r	155032-155124
orf378	29541-29573
orf378-r	127164-127238
orf3780	148885-148932
orf3780-r	155002-155022
orf3781	148933-148953
orf3781-r	154924-155001
orf3782	148960-149025
orf3782-r	154873-154923
orf3783	149026-149073
orf3783-r	154843-154872
orf3784	149074-149103
orf3784-r	154768-154827
orf3785	149104-149127
orf3785-r	154636-154767
orf3786	149146-149187
orf3786-r	154474-154635
orf3787	149191-149217
orf3787-r	154249-154473
orf3788	149218-149247
orf3788-r	154207-154242
orf3789	149248-149370
orf3789-r	154087-154206
orf379	29574-29600
orf379-r	127095-127163
orf3790	149371-149397
orf3790-r	154021-154086
orf3791	149398-149502
orf3791-r	153955-154011
orf3792	149503-149535
orf3792-r	153919-153954
orf3793	149536-149586
orf3793-r	153841-153918
orf3794	149620-149685
orf3794-r	146956-153840
orf3795	149686-149715
orf3795-r	146896-146949
orf3796	149728-149805
orf3796-r	146812-146895
orf3797	149806-149832
orf3797-r	146776-146811
orf3798	149833-149865
orf3798-r	146746-146766
orf3799	149866-149913
orf3799-r	146707-146745
orf38	2940-2960
orf38-r	153897-153977
orf380	29601-29630
orf380-r	127032-127094
orf3800	149914-149979
orf3800-r	146611-146703
orf3801	149989-150039
orf3801-r	146590-146610
orf3802	150085-150147
orf3802-r	146503-146589
orf3803	150157-150216
orf3803-r	146260-146496
orf3804	150217-150252
orf3804-r	146176-146259
orf3805	150253-150294
orf3805-r	145984-146175
orf3806	150295-150333
orf3806-r	145945-145983
orf3807	150355-150405
orf3807-r	145894-145944
orf3808	150406-150519
orf3808-r	145822-145893
orf3809	150520-150555
orf3809-r	145732-145815
orf381	29634-29666
orf381-r	127002-127031
orf3810	150568-150795
orf3810-r	145699-145731
orf3811	150796-150855
orf3811-r	145549-145698
orf3812	150856-150912
orf3812-r	145504-145542
orf3813	150913-150954
orf3813-r	145402-145503
orf3814	150955-151014
orf3814-r	145276-145398
orf3815	151015-151059
orf3815-r	145150-145260
orf3816	151066-151170
orf3816-r	145084-145137
orf3817	151171-151191
orf3817-r	144895-145077
orf3818	151192-151215
orf3818-r	144817-144894
orf3819	151216-151239
orf3819-r	144736-144804
orf382	29757-29786
orf382-r	126960-126989
orf3820	151240-151302
orf3820-r	144694-144735
orf3821	151303-151488
orf3821-r	144610-144693
orf3822	151489-151596
orf3822-r	144439-144609
orf3823	151597-151725
orf3823-r	144403-144435
orf3824	151726-151824
orf3824-r	144337-144402
orf3825	151834-151959
orf3825-r	144301-144336
orf3826	151972-152001
orf3826-r	144229-144300
orf3827	152020-152052
orf3827-r	144199-144228
orf3828	152092-152154
orf3828-r	144142-144189
orf3829	152188-152331
orf3829-r	144019-144141
orf383	29799-29897
orf383-r	126897-126956
orf3830	152332-152361
orf3830-r	143944-144018
orf3831	152362-152442
orf3831-r	143797-143943
orf3832	152455-152490
orf3832-r	143680-143793
orf3833	152491-152553
orf3833-r	143632-143679
orf3834	152554-152595
orf3834-r	143536-143631
orf3835	152596-152712
orf3835-r	143347-143535
orf3836	152713-152775
orf3836-r	143227-143346
orf3837	152776-152952
orf3837-r	143206-143226
orf3838	152953-153057
orf3838-r	143113-143205
orf3839	153070-153174
orf3839-r	143041-143112
orf384	29910-29936
orf384-r	126846-126896
orf3840	153175-153216
orf3840-r	142993-143037
orf3841	153217-153627
orf3841-r	142963-142992
orf3842	153652-153729
orf3842-r	142888-142962
orf3843	153754-153834
orf3843-r	142747-142887
orf3844	153835-153867
orf3844-r	142687-142728
orf3845	153868-153912
orf3845-r	142519-142686
orf3846	153913-153936
orf3846-r	142453-142515
orf3847	153937-153960
orf3847-r	142414-142452
orf3848	153976-154104
orf3848-r	142393-142413
orf3849	154105-154443
orf3849-r	142315-142380
orf385	29937-29972
orf385-r	126786-126830
orf3850	154444-154863
orf3850-r	142225-142314
orf3851	154864-154890
orf3851-r	142177-142224
orf3852	154891-154995
orf3852-r	142156-142176
orf3853	154996-155046
orf3853-r	142048-142155
orf3854	155047-155070
orf3854-r	141952-142047
orf3855	155071-155139
orf3855-r	141865-141951
orf3856	155158-155202
orf3856-r	141832-141864
orf3857	155203-155226
orf3857-r	141805-141831
orf3858	155227-155247
orf3858-r	141754-141801
orf3859	155248-155439
orf3859-r	141649-141753
orf386	29973-30050
orf386-r	126561-126758
orf3860	155440-155493
orf3860-r	141547-141630
orf3861	155497-155547
orf3861-r	141475-141546
orf3862	155548-155586
orf3862-r	141406-141474
orf3863	155587-155628
orf3863-r	141304-141390
orf3864	155629-155709
orf3864-r	141244-141303
orf3865	155710-155766
orf3865-r	141007-141243
orf3866	155767-155847
orf3866-r	140947-141006
orf3867	155848-155898
orf3867-r	140926-140946
orf3868	155923-155943
orf3868-r	140905-140925
orf3869	155944-155988
orf3869-r	140821-140904
orf387	30051-30173
orf387-r	126525-126560
orf3870	155989-156009
orf3870-r	140788-140820
orf3871	156010-156045
orf3871-r	140746-140772
orf3872	156046-156075
orf3872-r	140713-140745
orf3873	156076-156183
orf3873-r	140680-140712
orf3874	156184-156204
orf3874-r	140605-140667
orf3875	156205-156249
orf3875-r	140572-140601
orf3876	156250-156369
orf3876-r	140335-140568
orf3877	156370-156474
orf3877-r	140299-140334
orf3878	156478-156510
orf3878-r	140242-140283
orf3879	156511-156570
orf3879-r	140167-140241
orf388	30174-30317
orf388-r	126390-126524
orf3880	2-151
orf3880-r	140140-140160
orf3881	152-232
orf3881-r	140104-140127
orf3882	233-400
orf3882-r	140077-140103
orf3883	452-568
orf3883-r	140035-140061
orf3884	569-667
orf3884-r	139891-140031
orf3885	680-784
orf3885-r	139855-139890
orf3886	785-826
orf3886-r	139744-139854
orf3887	827-880
orf3887-r	139558-139737
orf3888	881-943
orf3888-r	139504-139557
orf3889	944-1075
orf3889-r	139429-139503
orf389	30318-30338
orf389-r	126222-126389
orf3890	1076-1210
orf3890-r	139309-139413
orf3891	1232-1318
orf3891-r	139195-139308
orf3892	1325-1435
orf3892-r	139153-139194
orf3893	1436-1564
orf3893-r	139117-139152
orf3894	1574-1597
orf3894-r	138973-139116
orf3895	1598-1624
orf3895-r	138892-138954
orf3896	1625-1660
orf3896-r	138712-138891
orf3897	1673-1702
orf3897-r	138541-138705
orf3898	1703-1969
orf3898-r	138505-138540
orf3899	1976-2080
orf3899-r	138460-138504
orf39	2961-3005
orf39-r	153873-153896
orf390	30378-30401
orf390-r	126198-126221
orf3900	2081-2176
orf3900-r	138340-138459
orf3901	2177-2218
orf3901-r	138313-138339
orf3902	2252-2275
orf3902-r	138190-138273
orf3903	2294-2317
orf3903-r	138133-138189
orf3904	2318-2344
orf3904-r	137956-138114
orf3905	2345-2377
orf3905-r	137908-137955
orf3906	2390-2428
orf3906-r	137878-137907
orf3907	2435-2473
orf3907-r	137791-137877
orf3908	2474-2494
orf3908-r	137650-137790
orf3909	2495-2542
orf3909-r	137611-137649
orf391	30402-30425
orf391-r	126129-126167
orf3910	2543-2593
orf3910-r	137587-137610
orf3911	2594-2659
orf3911-r	137446-137583
orf3912	2660-2686
orf3912-r	137101-137445
orf3913	2696-2734
orf3913-r	137062-137100
orf3914	2756-2782
orf3914-r	137020-137061
orf3915	2783-2806
orf3915-r	136906-136995
orf3916	2807-2851
orf3916-r	136786-136905
orf3917	2870-2965
orf3917-r	136759-136785
orf3918	2984-3046
orf3918-r	136660-136758
orf3919	3059-3109
orf3919-r	136471-136650
orf392	30426-30449
orf392-r	126063-126125
orf3920	3110-3133
orf3920-r	136414-136449
orf3921	3134-3157
orf3921-r	136381-136413
orf3922	3188-3292
orf3922-r	136339-136380
orf3923	3293-3451
orf3923-r	136207-136329
orf3924	3452-3502
orf3924-r	136171-136206
orf3925	3503-3565
orf3925-r	136111-136170
orf3926	3569-3589
orf3926-r	136024-136110
orf3927	3590-3610
orf3927-r	135967-136023
orf3928	3611-3664
orf3928-r	135859-135966
orf3929	3665-3697
orf3929-r	135709-135858
orf393	30450-30485
orf393-r	125988-126029
orf3930	3698-3769
orf3930-r	135646-135708
orf3931	3788-3862
orf3931-r	135589-135624
orf3932	3875-3970
orf3932-r	135568-135588
orf3933	3971-4015
orf3933-r	135529-135549
orf3934	4016-4183
orf3934-r	135475-135516
orf3935	4196-4294
orf3935-r	135421-135474
orf3936	4295-4318
orf3936-r	135319-135408
orf3937	4325-4474
orf3937-r	135253-135315
orf3938	4478-4522
orf3938-r	135031-135252
orf3939	4523-4543
orf3939-r	134992-135030
orf394	30486-30680
orf394-r	125952-125987
orf3940	4544-4567
orf3940-r	134920-134976
orf3941	4568-4612
orf3941-r	134812-134904
orf3942	4658-4741
orf3942-r	134785-134811
orf3943	4742-4786
orf3943-r	134722-134784
orf3944	4811-4831
orf3944-r	134692-134715
orf3945	4832-4903
orf3945-r	134668-134691
orf3946	4904-5044
orf3946-r	134575-134667
orf3947	5045-5104
orf3947-r	134479-134568
orf3948	5105-5155
orf3948-r	134338-134442
orf3949	5156-5218
orf3949-r	134218-134337
orf395	30684-30809
orf395-r	125901-125951
orf3950	5219-5248
orf3950-r	134179-134202
orf3951	5249-5308
orf3951-r	134113-134178
orf3952	5309-5344
orf3952-r	134047-134094
orf3953	5351-5434
orf3953-r	133987-134046
orf3954	5435-5626
orf3954-r	133924-133986
orf3955	5639-5662
orf3955-r	133840-133923
orf3956	5663-5749
orf3956-r	133789-133839
orf3957	5750-5770
orf3957-r	133738-133788
orf3958	5783-5806
orf3958-r	133687-133737
orf3959	5807-5983
orf3959-r	133540-133686
orf396	30810-30839
orf396-r	125832-125897
orf3960	5984-6094
orf3960-r	133480-133539
orf3961	6113-6154
orf3961-r	133423-133479
orf3962	6155-6175
orf3962-r	133327-133422
orf3963	6176-6259
orf3963-r	133294-133323
orf3964	6260-6304
orf3964-r	133252-133293
orf3965	6305-6505
orf3965-r	133216-133251
orf3966	6509-6592
orf3966-r	133144-133215
orf3967	6614-6664
orf3967-r	133057-133143
orf3968	6665-6730
orf3968-r	132958-133038
orf3969	6731-6781
orf3969-r	132925-132957
orf397	30840-30869
orf397-r	125760-125831
orf3970	6788-7105
orf3970-r	132892-132912
orf3971	7106-7153
orf3971-r	132859-132891
orf3972	7154-7228
orf3972-r	132835-132858
orf3973	7229-7273
orf3973-r	132778-132834
orf3974	7274-7594
orf3974-r	132748-132777
orf3975	7622-7693
orf3975-r	132727-132747
orf3976	7697-7729
orf3976-r	132670-132723
orf3977	7739-7789
orf3977-r	132610-132669
orf3978	7790-7822
orf3978-r	132526-132609
orf3979	7823-7855
orf3979-r	132499-132525
orf398	30870-30893
orf398-r	125676-125750
orf3980	7856-7888
orf3980-r	132319-132498
orf3981	7889-7939
orf3981-r	132217-132318
orf3982	7940-8047
orf3982-r	132169-132201
orf3983	8048-8092
orf3983-r	132118-132168
orf3984	8093-8239
orf3984-r	132067-132117
orf3985	8255-8281
orf3985-r	131974-132066
orf3986	8282-8338
orf3986-r	131896-131955
orf3987	8348-8371
orf3987-r	131575-131895
orf3988	8372-8395
orf3988-r	131551-131574
orf3989	8396-8440
orf3989-r	131386-131532
orf399	30894-30968
orf399-r	125655-125675
orf3990	8441-8470
orf3990-r	131344-131379
orf3991	8471-8557
orf3991-r	131254-131328
orf3992	8570-8647
orf3992-r	131083-131238
orf3993	8651-8674
orf3993-r	131035-131082
orf3994	8675-8719
orf3994-r	130948-131034
orf3995	8729-8791
orf3995-r	130912-130947
orf3996	8792-8878
orf3996-r	130891-130911
orf3997	8888-8935
orf3997-r	125476-130890
orf3998	8936-8986
orf3998-r	125428-125472
orf3999	8987-9079
orf3999-r	125323-125427
orf4	111-188
orf4-r	156360-156386
orf40	3030-3068
orf40-r	153828-153863
orf400	30969-31025
orf400-r	125577-125654
orf4000	9080-9154
orf4000-r	125215-125322
orf4001	9170-9202
orf4001-r	125179-125208
orf4002	9203-9250
orf4002-r	125131-125169
orf4003	9251-9343
orf4003-r	125104-125130
orf4004	9386-9412
orf4004-r	125002-125103
orf4005	9413-9457
orf4005-r	124975-125001
orf4006	9473-9529
orf4006-r	124939-124974
orf4007	9530-9595
orf4007-r	124855-124938
orf4008	9596-9814
orf4008-r	124780-124830
orf4009	9815-9919
orf4009-r	124759-124779
orf401	31035-31076
orf401-r	125373-125558
orf4010	9920-9940
orf4010-r	124636-124758
orf4011	9947-10009
orf4011-r	124573-124635
orf4012	10010-10042
orf4012-r	124390-124554
orf4013	10064-10114
orf4013-r	124249-124371
orf4014	10115-10177
orf4014-r	124210-124239
orf4015	10181-10201
orf4015-r	124180-124209
orf4016	10202-10225
orf4016-r	124156-124179
orf4017	10226-10270
orf4017-r	124114-124155
orf4018	10271-10369
orf4018-r	124066-124113
orf4019	10370-10414
orf4019-r	123973-124065
orf402	31083-31106
orf402-r	125340-125372
orf4020	10418-10438
orf4020-r	123877-123939
orf4021	10439-10474
orf4021-r	123814-123876
orf4022	10493-10579
orf4022-r	123790-123813
orf4023	10580-10738
orf4023-r	123763-123786
orf4024	10739-10789
orf4024-r	123718-123738
orf4025	10790-10822
orf4025-r	123640-123717
orf4026	10823-10894
orf4026-r	123568-123639
orf4027	10895-10933
orf4027-r	123529-123567
orf4028	10934-10984
orf4028-r	123502-123528
orf4029	10985-11029
orf4029-r	123433-123486
orf403	31125-31256
orf403-r	125319-125339
orf4030	11036-11077
orf4030-r	123367-123432
orf4031	11078-11143
orf4031-r	123283-123342
orf4032	11165-11293
orf4032-r	123181-123264
orf4033	11294-11452
orf4033-r	123160-123180
orf4034	11462-11536
orf4034-r	123121-123147
orf4035	11537-11626
orf4035-r	122968-123105
orf4036	11627-11659
orf4036-r	122935-122967
orf4037	11672-11755
orf4037-r	122821-122919
orf4038	11756-11863
orf4038-r	122704-122787
orf4039	11864-11908
orf4039-r	122557-122703
orf404	31257-31292
orf404-r	125280-125306
orf4040	11909-11959
orf4040-r	122512-122544
orf4041	11981-12013
orf4041-r	122410-122475
orf4042	12014-12175
orf4042-r	122278-122379
orf4043	12176-12208
orf4043-r	122182-122277
orf4044	12209-12343
orf4044-r	122155-122181
orf4045	12344-12385
orf4045-r	122131-122154
orf4046	12389-12415
orf4046-r	122077-122130
orf4047	12416-12589
orf4047-r	122032-122061
orf4048	12590-12622
orf4048-r	121912-122031
orf4049	12623-12646
orf4049-r	121873-121905
orf405	31305-31328
orf405-r	125220-125279
orf4050	12647-12667
orf4050-r	121840-121872
orf4051	12668-12703
orf4051-r	121720-121812
orf4052	12704-12823
orf4052-r	121513-121704
orf4053	12824-12844
orf4053-r	121462-121512
orf4054	12845-12892
orf4054-r	121348-121461
orf4055	12893-12943
orf4055-r	121282-121347
orf4056	12950-13042
orf4056-r	121195-121281
orf4057	13067-13102
orf4057-r	121129-121182
orf4058	13139-13186
orf4058-r	121096-121128
orf4059	13187-13219
orf4059-r	121069-121095
orf406	31329-31472
orf406-r	125184-125219
orf4060	13220-13306
orf4060-r	120982-121068
orf4061	13319-13414
orf4061-r	120847-120981
orf4062	13415-13486
orf4062-r	120805-120846
orf4063	13499-13600
orf4063-r	120763-120804
orf4064	13601-13633
orf4064-r	120733-120762
orf4065	13634-13663
orf4065-r	120712-120732
orf4066	13670-13717
orf4066-r	120592-120711
orf4067	13718-13795
orf4067-r	120556-120588
orf4068	13826-13870
orf4068-r	120535-120555
orf4069	13871-13891
orf4069-r	120487-120531
orf407	31473-31592
orf407-r	125160-125183
orf4070	13904-13924
orf4070-r	120418-120477
orf4071	13925-13981
orf4071-r	120349-120375
orf4072	13982-14014
orf4072-r	119776-120345
orf4073	14015-14044
orf4073-r	119662-119772
orf4074	14045-14122
orf4074-r	119623-119661
orf4075	14123-14218
orf4075-r	119509-119622
orf4076	14219-14239
orf4076-r	119470-119490
orf4077	14267-14347
orf4077-r	119437-119463
orf4078	14384-14446
orf4078-r	119335-119433
orf4079	14447-14476
orf4079-r	119278-119334
orf408	31593-31652
orf408-r	125097-125144
orf4080	14477-14497
orf4080-r	119170-119235
orf4081	14498-14548
orf4081-r	119128-119169
orf4082	14549-14581
orf4082-r	119050-119118
orf4083	14615-14671
orf4083-r	118993-119037
orf4084	14672-14743
orf4084-r	118663-118992
orf4085	14762-14782
orf4085-r	118516-118647
orf4086	14786-14872
orf4086-r	118411-118503
orf4087	14897-14950
orf4087-r	118354-118398
orf4088	14951-15028
orf4088-r	118324-118353
orf4089	15038-15109
orf4089-r	118276-118323
orf409	31653-31712
orf409-r	124797-125096
orf4090	15119-15148
orf4090-r	118240-118260
orf4091	15155-15205
orf4091-r	118186-118230
orf4092	15206-15229
orf4092-r	118159-118179
orf4093	15230-15298
orf4093-r	118108-118158
orf4094	15299-15433
orf4094-r	118000-118101
orf4095	15434-15505
orf4095-r	117937-117987
orf4096	15506-15553
orf4096-r	117916-117936
orf4097	15554-15610
orf4097-r	117790-117903
orf4098	15620-15652
orf4098-r	117754-117774
orf4099	15653-15688
orf4099-r	117694-117753
orf41	3069-3095
orf41-r	153792-153827
orf410	31713-31772
orf410-r	124755-124790
orf4100	15707-15904
orf4100-r	117634-117672
orf4101	15905-16018
orf4101-r	117589-117621
orf4102	16019-16072
orf4102-r	117490-117552
orf4103	16073-16183
orf4103-r	117364-117489
orf4104	16184-16234
orf4104-r	117343-117363
orf4105	16235-16255
orf4105-r	117301-117324
orf4106	16256-16336
orf4106-r	117187-117252
orf4107	16337-16366
orf4107-r	117121-117186
orf4108	16367-16498
orf4108-r	117025-117117
orf4109	16499-16549
orf4109-r	116965-117021
orf411	31773-31817
orf411-r	124728-124748
orf4110	16550-16612
orf4110-r	116926-116961
orf4111	16613-16822
orf4111-r	116788-116925
orf4112	16829-16906
orf4112-r	116749-116787
orf4113	16919-16981
orf4113-r	116683-116748
orf4114	16982-17005
orf4114-r	116662-116682
orf4115	17021-17092
orf4115-r	116602-116661
orf4116	17093-17152
orf4116-r	116518-116601
orf4117	17153-17182
orf4117-r	116287-116475
orf4118	17183-17266
orf4118-r	116248-116286
orf4119	17276-17302
orf4119-r	116215-116247
orf412	31833-31949
orf412-r	124689-124712
orf4120	17315-17356
orf4120-r	116128-116214
orf4121	17357-17380
orf4121-r	116104-116127
orf4122	17381-17458
orf4122-r	115921-116103
orf4123	17459-17494
orf4123-r	115882-115920
orf4124	17495-17572
orf4124-r	115738-115881
orf4125	17600-17659
orf4125-r	115696-115737
orf4126	17660-17770
orf4126-r	115597-115683
orf4127	17780-17836
orf4127-r	115573-115596
orf4128	17837-17860
orf4128-r	115552-115572
